sentiment,text
1,plus add commercial experience tacky
0,really aggressive blast obnoxious entertainment guest face amp little recourse
0,really big bad thing
0,seriously would pay flight seat play really bad thing fly va
1,yes nearly every time fly vx  ear worm  go away
1,well didnt 
1,amaze arrive hour early good
1,lt pretty graphic much well minimal iconography
1,great deal already think trip amp even go trip yet p
1,fly fabulous seductive sky you take stress away travel
1,thanks
0,sfopdx schedule still mia
1,excite first cross country flight lax mco hear nothing great thing virgin america
0,fly nyc sfo last week could fully sit seat due two large gentleman either side help
1,red heart selector fly smile face selector thumb
1,know would amazingly awesome bosfll please want fly
0,first fare may three time carrier seat available select
1,love graphic
1,love hipster innovation feel good brand
0,guy mess seat reserve seat friend guy give seat away pout face want free internet
0,status match program apply three week call email response
0,happen ur vegan food option least say ur site know able eat anything next hr fail
0,amaze get cold air vent noair worstflightever roast sfotobos
0,hi bke cool birthday trip add elevate cause enter middle name flight booking problems cry face
0,help leave expensive headphone flight iad lax today seat one answer lampf number lax
0,await return phone call would prefer use online selfservice option
1,great news america could start flight hawaii end year via
1,moodlighting way fly good experience ever cool calm purple heart airplane moodlitmonday
1,good airline around hand
0,chat support work site
1,view downtown los angeles hollywood sign beyond rain mountain
0,hey first time flyer next week excite hard time get flight add elevate account help
1,elevategold good reason rock
1,wow blow mind
1,julie andrews way though impressive
0,hi excite lgagtdal deal try book since last week amp page never load thank you
1,know need spotify stat guiltypleasure
1,lady gaga amaze smile face smile eye
0,call week ago add flight elevatethey still show uphelp
1,love three really beat classic
0,heyy guyys try get hour someone call please
0,hi virgin hold minute early flight la nyc tonight early
1,congrat win award good deal airline us
0,everything fine lose bag
0,airline awesome lax loft need step game dirty table floor
1,worry great ride new plane great crew airline like
1,awesome fly sat morning way correct bill
0,go customer service anyway speak human as soon as possible thank
0,supp biz traveler like customer service like neverflyvirginforbusiness
1,apply member inflight crew teamim interested flightattendant dreampath g
0,good whenever begrudgingly use airline delay late flight
0,interest fly cancel flight next four flight plannedneverflyvirginforbusiness
0,disappoint experience share every business traveler meet neverflyvirgin
0,trouble add flight wife book elevate account help
0,site back
